title,label,label_score
JPU Keberatan Kivlan Zen Didampingi Kuasa Hukum dari Militer,non-clickbait,0
"Jaksa Beberkan Senpi-Peluru Tajam Pembelian Kivlan Zen cs, Ini Rinciannya",clickbait,1
Dishub Minta Polda Data Kebutuhan E-TLE di Area Perluasan Ganjil Genap,non-clickbait,0
Polisi Olah TKP Kecelakaan Maut Tewaskan 3 Orang di Nganjuk,non-clickbait,0
"Uang Miliaran Rupiah Milik Pemprov Sumut Hilang, Polisi Turun Tangan",non-clickbait,0
Menkum HAM soal Cabut Paspor Veronica Koman: Ada Ketentuannya,non-clickbait,0
Sering Quality Time Bersama Keluarga? Ternyata Ini 3 Manfaatnya!,clickbait,1
"Menteri Jokowi 55% Profesional, Ini Kandidatnya?",clickbait,1
LIPI Desak Jokowi Tolak Revisi UU KPK yang Lumpuhkan Kinerja KPK,non-clickbait,0
"Kasus Penyerangan Ditutup, Pemotor Naik Trotoar Tetap Ditilang",non-clickbait,0
Bareskrim Tangkap 2 Pembobol yang Rugikan Bank BUMN Rp 16 Miliar,non-clickbait,0
"Datang ke Pembekalan Caleg Terpilih Demokrat, SBY Beri Arahan Tertutup",non-clickbait,0
Aktivis Perempuan Nilai RUU PKS Tersandera oleh RUU KUHP,non-clickbait,0
"Belum Teridentifikasi, 4 Korban Kecelakaan Cipularang Diduga Perempuan",non-clickbait,0
Siswi SMK Bandung Ditikam Dekat Sekolah karena Tolak Cinta Pelaku,non-clickbait,0
"Jika Tak Kunjung Penuhi Panggilan, Veronica Koman Bakal Jadi DPO",non-clickbait,0
"Pria Misterius Berjubah Putih Viral di Sumut, Ingatkan 'Tuhan Murka'",clickbait,1
Polisi Simpulkan Bos Sembako di Cilegon Tewas Bunuh Diri,non-clickbait,0
Menengok Pantai Mustika Banyuwangi,non-clickbait,0
"Asap Pekat Selimuti Riau, Pemprov Gelar Salat Minta Hujan Besok",non-clickbait,0
"Soal Kontrak Politik Capim KPK, Fahri Sebut Agar Taat Undang-Undang",non-clickbait,0
Caketum HIPMI: Pengusaha RI Harus Punya Jiwa Nasionalisme yang Kuat,non-clickbait,0
"KPU Solo Ajukan Dana Rp 17,8 M untuk Pilwalkot 2020",non-clickbait,0
Utusan Khusus Presiden akan Gelar Munas Tokoh Antaragama,non-clickbait,0
"Panggil Veronica Koman, Polisi Tunggu Hingga Dua Pekan ke Depan",non-clickbait,0
KPK Tetapkan Eks Pejabat Pertamina Energy Tersangka Mafia Migas,non-clickbait,0
"Dipeluk Istri Sebelum Jalani Sidang, Kivlan Zen Menangis",non-clickbait,0
"Video Porno di Sumedang Disebar Pemeran Pria, Apa Motifnya?",clickbait,1
"ICW: Jangan Pertaruhkan KPK, Pak Jokowi",non-clickbait,0
Terungkap! Video Porno di Sumedang Diperankan Pasangan Selingkuh,clickbait,1
"Bocah di Bekasi Disebut Tewas karena Bully, KPAD Imbau Keluarga Melapor",non-clickbait,0
JK soal Revisi UU KPK: Penuntutan Tak Perlu Koordinasi dengan Jaksa Agung,non-clickbait,0
Komisi III DPR Pastikan Tampung Semua Masukan soal Capim KPK,non-clickbait,0
"Tokoh Papua yang Diundang Jokowi Eks Timses, Istana: Kebetulan Saja",non-clickbait,0
Wagub Jabar Minta Pekerja di Lingkungan Pemprov Jabar Daftar BPJS TK,non-clickbait,0
Anak dan Cucu Berkumpul Temani BJ Habibie di RSPAD Gatot Soebroto,non-clickbait,0
"Gara-gara Puntung Rokok, 28 Hektare Lahan di Sulteng Terbakar",non-clickbait,0
"Topan Faxai Hantam Jepang, 17.000 Penumpang Telantar di Bandara Narita",non-clickbait,0
"Gajah Mengamuk Ketika Ikut Festival Agama di Sri Lanka, 18 Terluka",non-clickbait,0
"Waduk Pacal di Bojonegoro Surut, Lahan Pertanian di 4 Kecamatan Kekeringan",non-clickbait,0
Komisi III DPR Gelar RDPU Tampung Masukan soal Seleksi Capim KPK,non-clickbait,0
"HUT ke-70, Brigif Raider 13 Ziarah ke Makam Bupati Galuh Ciamis",non-clickbait,0
Pesan KPK ke Jokowi: Pembangunan Tak Tercapai Jika Masih Digerogoti Korupsi,non-clickbait,0
40 Perguruan Tinggi Muhammadiyah se-Indonesia Tolak Revisi UU KPK,non-clickbait,0
1.904 Pelanggar Ditilang di Hari Perdana Perluasan Ganjil-Genap Kemarin,non-clickbait,0
4 Bulan Lagi Polrestabes Surabaya Punya Tempat Parkir Bertingkat,non-clickbait,0
"Sepekan Dilantik, Anggota DPRD Jabar Gadai SK ke Bank",non-clickbait,0
"Poyuono: Jelas, Pemerintah-DPR Revisi UU KPK Agar Mudah Rampok Uang Negara",non-clickbait,0
Ratusan Mahasiswa Surabaya Dukung Revisi UU KPK,non-clickbait,0
Abraham Samad: Jokowi Harus Minta DPR Setop Pembahasan Revisi UU KPK,non-clickbait,0
Satgas Karhutla Investigasi Penyebab Kebakaran Kebun Tebu PTPN VII Ogan Ilir,non-clickbait,0
"Fenomena Anggota Dewan Gadaikan SK, di DPRD Surabaya Juga Ada",non-clickbait,0
Anies Anggap Perbaikan Udara Jakarta Lewat Ganjil Genap Tak Bisa Instan,non-clickbait,0
"Tepis Kabar Bully, Polisi Sebut Bocah Meninggal di Bekasi Akibat Tetanus",non-clickbait,0
Tokoh Papua Bicara ke Jokowi soal Persaingan Penduduk dan Lingkungan,non-clickbait,0
"Kritik Revisi UU KPK, Rektor IPB-Pemuka Agama Tolak Pelemahan KPK",non-clickbait,0
Menggalang Pembiayaan Ibu Kota Baru,non-clickbait,0
Pasukan Kostrad Dikerahkan untuk Tangkap Pelaku Karhutla di Riau,non-clickbait,0
"Kendaraan Listrik Bebas dari Aturan Ganjil-Genap, Ini Alasannya",clickbait,1
Satu-satunya Korban Selamat Kecelakaan Maut di Nganjuk Diciduk Kasus Narkoba,non-clickbait,0
"Home Industry Arak di Sidoarjo Digerebek, Dua Orang Diamankan",non-clickbait,0
"Jokowi ke Papua Lagi Paling Telat Oktober, Resmikan Jembatan Holtekamp",non-clickbait,0
Trump Umumkan Perundingan Damai dengan Taliban Sudah Mati,non-clickbait,0
"Menanti ""Kebijakan Gila"" Jokowi",clickbait,1
Jokowi Janjikan 1.000 Sarjana Papua Bekerja di BUMN-Perusahaan Besar,non-clickbait,0
Ibu Bayi yang Kaki-Tangannya Putus di Tangerang Serahkan Diri ke Polisi,non-clickbait,0
Melihat ke Belakang Pengusutan KPK soal Mafia Migas terkait Petral,non-clickbait,0
Banyuwangi dan Perawat Kolaborasi Bikin Sehat Usaha Wisata Warga,non-clickbait,0
Dua Korban Kecelakaan Maut di Nganjuk Ternyata DPO Kasus Narkoba,non-clickbait,0
Kabut Asap Bikin Penerbangan di Banjarmasin Terganggu,non-clickbait,0
Tokoh Papua Minta Jokowi Bangun Istana Presiden di Papua,non-clickbait,0
Jaksa KPK Minta MA Tolak PK Novanto,non-clickbait,0
Akhirnya! Pemkot Pekanbaru Liburkan SD dan SMP karena Kabut Asap,clickbait,1
"Tata Cara Umroh, Urutan, dan Bacaannya",non-clickbait,0
"40 Persen Dewan Ciamis Gadaikan SK, Ketua: Daripada Mencuri Uang Negara",non-clickbait,0
Seputar Kecelakaan Maut di Jalur Nganjuk-Madiun yang Tewaskan 3 Orang,non-clickbait,0
PJ Walkot Makassar Sebut Rilis Edaran Antisipasi Syiah Rekomendasi MUI,non-clickbait,0
"Dipimpin Ibas, Demokrat Gelar Pembekalan Anggota Legislatif 2019-2024",non-clickbait,0
Jokowi: Tahun Depan Istana Presiden di Papua Mulai Dibangun,non-clickbait,0
Jokowi Undang Tokoh Papua ke Istana Hari Ini,non-clickbait,0
China Geram Atas Pernyataan Menlu AS Soal Perlakuan terhadap Uighur,non-clickbait,0
OSO soal Revisi UU KPK: Tentunya Kita Tidak akan Melemahkan,non-clickbait,0
"154 Pelanggar Ditilang di Jakbar, Alasannya Tidak Tahu Ganjil Genap",non-clickbait,0
Gubernur Khofifah Gandeng ISEI Kembangkan One Pesantren One Product,non-clickbait,0
SBY Jenguk BJ Habibie di RSPAD Gatot Soebroto,non-clickbait,0
"HUT Ke-74, TNI AL Akan Terus Tingkatkan SDM untuk Indonesia Maju",non-clickbait,0
"Buka Luwur Sunan Kudus, Ribuan Paket Nasi Berkat Dibagikan",non-clickbait,0
PDIP Nilai Pidato Kontemplasi SBY Sejalan dengan Ide Jokowi,non-clickbait,0
"2 Ribu Hektare Lahan Terbakar, Udara di Palembang Tidak Sehat!",clickbait,1
Pelemahan KPK dan Masa Depan Demokrasi Kita,non-clickbait,0
KPK Panggil Wakil Ketua Komisi XI Terkait Kasus Anggota DPR F-PAN,non-clickbait,0
Kabut Asap Pekat di Riau Tak Ganggu Penerbangan,non-clickbait,0
Petugas Cek Pajak Pelanggar Ganjil Genap Hingga Bagi-bagi Cokelat,non-clickbait,0
Tim Pelajar DKI Raih Juara Dua di Olimpiade Metropolis Moskow,non-clickbait,0
"Status Tersangka Veronica Koman Disoal, Polri: Ada Praperadilan",non-clickbait,0
"Viral Bocah di Bekasi Disebut Tewas Akibat Bully, Begini Kata Ketua RT",clickbait,1
Pemkab Ponorogo Ajukan 531 Formasi untuk CPNS dan P3K,non-clickbait,0
"Masih Ada Yang Tak Tahu Ganjil Genap, Dishub: Sosialisasi Sudah Maksimal",non-clickbait,0
Dishub DKI: Perluasan Ganjil Genap Tingkatkan Pengguna Sepeda Motor,non-clickbait,0
"Anggota DPRD Banten Ramai-ramai Gadai SK, Ini Kata Kemendagri",clickbait,1
"Asap Karhutla Tambah Parah, Jarak Pandang di Riau 800 Meter",non-clickbait,0
"Perluasan Ganjil Genap, Dishub: Volume Lalu Lintas Turun Signifikan",non-clickbait,0
Aktor Intelektual Rusuh Papua Dicari Satu-satu,non-clickbait,0
KPK Umumkan Tersangka Kasus Mafia Migas Terkait Petral Siang Ini,non-clickbait,0
"Puntung Rokok, Pembalut Bekas, Ada Ratusan Kilo Sampah di Pantai Gold Coast",non-clickbait,0
"Asap Pekat Kepung Pekanbaru, Polantas Bagikan Masker ke Pengendara",non-clickbait,0
Santri di Probolinggo Sambut 10 Muharam dengan Pawai Obor,non-clickbait,0
"Yuk 'Bantu Jokowi Cari Menteri', Ikuti Polling di detikcom!",clickbait,1
Beda 2 Eks Komisioner KPAI Soal Polemik dengan PB Djarum,non-clickbait,0
Ratusan Keluarga di Queensland Mengungsi Hindari Kebakaran yang Kian Memburuk,non-clickbait,0
Penerapan Tilang Elektronik di Busway Ditargetkan Oktober 2019,non-clickbait,0
"Dangdutan Maut Tewaskan 2 Pria di Bekasi, 4 Pelaku Ditangkap",non-clickbait,0
"Jadi Contoh Tak Baik, Pemotor Serang Pejalan Kaki di Trotoar Minta Maaf",non-clickbait,0
"Kebakaran Gudang di Penjaringan Padam, Kerugian Ditaksir Rp 2 M",non-clickbait,0
"Atasi Kabut Asap dari Indonesia, Malaysia Rencanakan Hujan Buatan",non-clickbait,0
"Polisi Bongkar Perdagangan Wanita di Kepri, Korbannya Dijadikan PSK",non-clickbait,0
"Gegara Potong Kabel, Anies Disomasi Apjatel",non-clickbait,0
Anggota Baleg DPR: Revisi UU KPK Seimbangkan Pencegahan dan Penindakan,non-clickbait,0
John Chardon Terbukti Bersalah Atas Kematian Istrinya Novy,non-clickbait,0
KPAI: Pengembangan Bakat Bulutangkis Harus Tetap Jalan Sesuai Regulasi,non-clickbait,0
"Berharap Tak Mati, KPK Minta Yasonna Hati-hati",non-clickbait,0
Korut Nyatakan Siap Bertemu AS Bahas Denuklirisasi Akhir September,non-clickbait,0
BMKG Prediksi Cuaca Jakarta Cerah Hari ini,non-clickbait,0
Polri Akan Teruskan Pengajuan Red Notice Veronica Koman ke Interpol,non-clickbait,0
"Sebut Personel Polres Jakbar Satpam, AMPG Pro Bamsoet Akan Dipolisikan",non-clickbait,0
"Asap Pekat, Siswa SD di Pekanbaru Tetap Sekolah",non-clickbait,0
Petani Blitar Biarkan Tomat Membusuk karena Harga Anjlok,non-clickbait,0
Dishub DKI: Perluasan Ganjil Genap Hari Pertama Perbaiki Kualitas Udara,non-clickbait,0
"SBY Ajak Rakyat Dukung Jokowi, Istana: Bentuk Kesantunan Politik",non-clickbait,0
"Hari Asyura, Pemkot Makassar Rilis Edaran Antisipasi Penyebaran Syiah",non-clickbait,0
Polisi Periksa Kadis Tersangka Pencium Pipi Staf Saat Selfie Pekan Ini,non-clickbait,0
"Bahas Seleksi Capim KPK, Komisi III Akan Temui Koalisi Masyarakat Sipil",non-clickbait,0
"Pabrik Tiner di Kalideres Terbakar, 15 Mobil Damkar Dikerahkan",non-clickbait,0
"SBY Ajak Rakyat Dukung Jokowi, PPP: Simpatik dan Negarawan",non-clickbait,0
"Jenguk BJ Habibie, SBY Batal Buka Pertemuan Nasional Fraksi Demokrat",non-clickbait,0
"Kualitas Udara Makin Buruk, Libur Siswa SD di Jambi Diperpanjang",non-clickbait,0
"Curhat Warga Desa Digital di Sukabumi, Berburu Sandi untuk Wi-Fi Gratis",non-clickbait,0
"Ada Bus TransJ Ditabrak Mobil, Lalin Menteng Arah Rasuna Said Macet",non-clickbait,0
Pelanggar di Jalur Perluasan Ganjil Genap Jakpus Masih Banyak,non-clickbait,0
"Besok, Polisi Panggil Ketum FPI Terkait Kasus Dugaan Makar",non-clickbait,0
"Anggota DPRD Banten Ramai-ramai Gadai SK, Pimpinan: Itu Ranah Pribadi",non-clickbait,0
Bupati Bogor Ingin Pemprov DKI Ikut Bantu Tangani Sampah di Kalibaru,non-clickbait,0
Polisi Cek Kebenaran Kasus Bocah di Bekasi yang Disebut Tewas Akibat Bully,non-clickbait,0
"Ibas Banggakan Kinerja SBY, Minta Caleg Terpilih Demokrat Jadikan Contoh",non-clickbait,0
Korut Tembakkan Proyektil Tak Dikenal Usai Tawarkan Dialog dengan AS,non-clickbait,0
Airlangga Tegaskan Golkar Bukan Inisiator Revisi UU KPK,non-clickbait,0
KaBIN Budi Gunawan Buka Pertemuan Jokowi dan 61 Tokoh Papua di Istana,non-clickbait,0
Pemimpin Hong Kong Ingatkan AS Jangan Ikut Campur Soal Aksi Demo,non-clickbait,0
Pj Walkot Makassar Minta Edaran Antisipasi Syiah Disikapi dengan Tenang,non-clickbait,0
Ini 10 Poin Aspirasi Tokoh Papua Saat Bertemu Jokowi di Istana,clickbait,1
Cerita Jokowi 12 Kali ke Papua: Provinsi Lain Maksimal 3 Kali,non-clickbait,0
"Dari Mantan Atlet, Artis hingga Netizen Ramai-ramai Bela PB Djarum",non-clickbait,0
Viral! Perampok Bercelurit Satroni Rumah Makan Gratis untuk Duafa di Bogor,clickbait,1
"Aspirasi Tokoh Papua: Pak Jokowi, Generasi Muda Kami Jangan Dihukum",non-clickbait,0
Air PDAM 60 Ribu Warga Mampet Dampak Pembangunan Alun-Alun Suroboyo,non-clickbait,0
Menlu Bicara Pentingnya Diplomasi Digital untuk Kerja Sama Ekonomi,non-clickbait,0
Perhatian! Ini Nama-nama Kandidat Menteri Jokowi,clickbait,1
Barang Impor Tanpa Izin Senilai Rp 8 Miliar Dimusnahkan,non-clickbait,0
Polres Sumedang Buru Penyebar Video Porno Pasangan Dewasa,non-clickbait,0
KPU Ungkap Kendala 18 KPU Daerah Usulkan NPHD Pilkada,non-clickbait,0
Polres Bogor Kejar Perampok Bercelurit di Rumah Makan Gratis untuk Duafa,non-clickbait,0
Saat Airlangga-Siswono Bicara soal Revisi UU KPK dan Seleksi Capim,non-clickbait,0
"Ketum FPI Dipanggil Terkait Makar Besok, Pengacara Minta Jadwal Ulang",non-clickbait,0
Kepala BPPT Doakan BJ Habibie 'Eyang Intelektual' Segera Pulih,non-clickbait,0
"Hotel, Kafe, Rumah Sakit di Surabaya Batasi Air Dampak PDAM Mampet",non-clickbait,0
PTUN: Pemkot Cimahi Harus Batalkan IMB Guest House di Setra Duta,non-clickbait,0
Pimpinan Bank BUMN di Purbalingga Jadi Tersangka Kredit Fiktif Rp 28 M,non-clickbait,0
Tokoh Papua: Benny Wenda Tak Berhak Atur NKRI,non-clickbait,0
"Kebakaran Rumah di Grobogan, Pria Penderita Stroke Tewas Terbakar",non-clickbait,0
Lahan Istana Kepresidenan di Papua Segera Disertifikatkan,non-clickbait,0
"Daripada Kritik PB Djarum, KPAI Diminta Fokus Urus Anak Jalanan",non-clickbait,0
Alasan Anggota DPRD Banten Gadaikan SK: Renovasi Rumah-Bayar Kuliah Anak,non-clickbait,0
Pengurus Golkar Protes Perubahan Prosedur Rapat Korbid,non-clickbait,0
Pemkot Bandung Evaluasi Program Street Library Yang Digagas Ridwan Kamil,non-clickbait,0
Poyuono Ajak Rakyat Kepung DPR-Istana Tolak Revisi UU KPK,non-clickbait,0
"Dishub DKI: Uji Coba Ganjil Genap 3 Minggu Kemarin, Kendaraan Turun 25%",non-clickbait,0
"Siap Sekali Jalani Sidang, Kivlan Zen ke Pengadilan Pakai Kursi Roda",non-clickbait,0
3 Orang Tewas dalam Drama Penembakan Keluarga di Belanda,non-clickbait,0
"Pasang Status 'Single', Inilah Saat Terakhir Kehidupan Novy Chardon",clickbait,1
"Anggota DPRD Surabaya Gadai SK ke Bank, Ketua: Itu Wajar",non-clickbait,0
"Laporan Dicabut, Kasus 'Mobil Goyang' di Halaman Pengadilan Berakhir Damai",non-clickbait,0
Siswi SMK Bandung Dilarikan ke RS Gegara Ditikam Dekat Sekolah,non-clickbait,0
"Sidang Gugatan Ikan Koi Mati, Saksi dari PLN Bicara Ini",clickbait,1
Putra BJ Habibie: Apa Pun yang Terjadi Terbaik buat Bapak Saya,non-clickbait,0
Puro Pakualaman Gelar Upacara Hajad Dalem Labuhan di Pantai Glagah,non-clickbait,0
"Permukaan Air Susut, Bekas Desa di Dasar Waduk Gajah Mungkur Muncul",non-clickbait,0
270 Panwaslu Telah Usulkan NPHD Pilkada 2020,non-clickbait,0
PDIP Jatim Buka Pendaftaran Pilkada Hingga 14 September,non-clickbait,0
Anggaran ERP akan Masuk APBD DKI 2020,non-clickbait,0
"Dua Kecelakaan di Tol Cipularang, Truk Terbakar di Km 91",non-clickbait,0
"Truk Oleng di Tanjakan Emen, Satu Penumpang Tewas",non-clickbait,0
"JK soal Efek KPK: Pejabat BUMN Bukan Lagi Hati-hati, Tapi Sudah Takut",non-clickbait,0
Perampok di RM Gratis untuk Duafa di Bogor Sempat Dikira Mau Minta Makan,non-clickbait,0
"Jokowi Diminta Mekarkan Wilayah Papua, Wiranto: Masih Masukan",non-clickbait,0
Google dan Pajak Media Digital Asing,non-clickbait,0
"Ibas Yudhoyono: KPK Tak Boleh Dilemahkan, Harus Diperkuat!",non-clickbait,0
"Fenomena Anggota DPRD Gadaikan SK ke Bank, Gejala Apa Ini?",clickbait,1
Kivlan Zen Didakwa Kasus 4 Senpi Ilegal dan Peluru Tajam,non-clickbait,0
Jaksa Ungkap Duit Ratusan Juta Habil Marati ke Kivlan Zen cs,non-clickbait,0
"Pesan Habil Marati Soal Duit Senpi ke Kivlan cs: Ini untuk Bangsa, Tetap Semangat",non-clickbait,0
"Kivlan Zen Sebut Kaliber 22 buat Tikus, Minta Cari Senpi Baru Sebelum Pemilu",non-clickbait,0
Tersangka Mafia Migas Bikin Penampung Duit Suap di British Virgin Island,non-clickbait,0
"Kasus Mafia Migas Eks Bos Petral, KPK Sudah Geledah 5 Lokasi",non-clickbait,0
JK Sebut Jokowi Segera Kirim Surat Presiden ke DPR Bahas Revisi UU KPK,non-clickbait,0
Puluhan Rumah di Bantaran Bengawan Solo Terancam Terbawa Longsor,non-clickbait,0
"Ajukan Eksepsi, Kivlan Zen: Dakwaan Tidak Benar!",non-clickbait,0
"Di Komisi III DPR, IPW cs Dukung Hasil Pansel Capim KPK",non-clickbait,0
Wali Kota Cirebon Minta Instansi Swasta Pasang CCTV untuk Intai Penjahat,non-clickbait,0
"Terdampak Tol Desari, Jalan Tanah Baru Depok Akan Diperlebar Tahun Ini",non-clickbait,0
Penyelundupan 74 Ekor Burung Dilindungi Berhasil Digagalkan,non-clickbait,0
Angka Aman Pemangkasan PPh Korporasi,non-clickbait,0
9 Pasangan Mesum di Buleleng Bali Terciduk Operasi Yustisi,non-clickbait,0
Seratusan Karyawan Pabrik Boneka di Sukabumi Keracunan Makanan,non-clickbait,0
Banyuwangi Raih Penghargaan dari Kemenkum HAM,non-clickbait,0
Polisi Selidiki dari dan ke Mana Veronika Koman Alirkan Dananya,non-clickbait,0
Gubernur Edy Rahmayadi Ingin Sungai Deli Seperti di Rusia,non-clickbait,0
Pengakuan Bos Investasi Bodong Mojokerto yang Rugikan Korban Hingga Rp 7 M,non-clickbait,0
Apa Kabar Denda Rp 1 Juta bagi Pembeli di Zona Merah PKL Bandung?,clickbait,1
Sidang Habil Marati Ditunda Gara-gara Tak Didampingi Pengacara,non-clickbait,0
"Diminta Jadwal Ulang Pemeriksaan, Polisi Tunggu Kehadiran Ketum FPI Besok",non-clickbait,0
"Garbi Akan Jadi Partai Gelora, Fahri Hamzah Ikut Bergabung",non-clickbait,0
"Disebut Ikut Danai Pembelian Senpi Kivlan, Habil Marati: Semua Fitnah",non-clickbait,0
JK soal Banyaknya OTT KPK: Kalau Makin Kurang Itu Prestasi,non-clickbait,0
"Anggota Komisi III DPR Ngaku Dilobi Pendukung Capim KPK, Tapi Tak Terima",non-clickbait,0
"Mengaku Dihamili, Wanita Asal Blitar Adukan Kades ke Polisi",non-clickbait,0
Penyandang Disabilitas Ikut Penjaringan Bacabup-Bacawabup Jember,non-clickbait,0
Aksi Mahasiswa UNS Peringati Kematian Munir: Jokowi Tak Serius,non-clickbait,0
Fadli Zon Pastikan Sandiaga Akan Gabung Lagi ke Gerindra,non-clickbait,0
"Kecelakaan Maut di Nganjuk Tewaskan 3 Orang, 10 Saksi Diperiksa",non-clickbait,0
Menteri LHK soal Kabut Asap di Malaysia: Jangan Bilang Hanya dari Indonesia,non-clickbait,0
"Munarman: Tak di Kertanegara 17 April, Ketum FPI Bingung Dipanggil Polisi",non-clickbait,0
Warga Wonogiri Tewas Terbakar Saat Bersihkan Pekarangan,non-clickbait,0
DPRD Usul Posisi Wagub DKI Jakarta Lebih dari Satu Orang,non-clickbait,0
"Polisi: Hari Kedua Ganjil Genap di Jl RS Fatmawati, Pelanggaran Turun",non-clickbait,0
Ibu yang Buang Bayi Mengenaskan di Tangerang Seorang Mahasiswi,non-clickbait,0
